interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,day_ahead_lmp,energy,congestion,loss
2024-01-01T00:00:00-05:00,2024-01-01 05:00:00+00:00,2024-01-01T01:00:00-05:00,2024-01-01 06:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,27.66,28.21,0.0,-0.55
2024-01-01T01:00:00-05:00,2024-01-01 06:00:00+00:00,2024-01-01T02:00:00-05:00,2024-01-01 07:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,25.63,26.09,0.0,-0.46
2024-01-01T02:00:00-05:00,2024-01-01 07:00:00+00:00,2024-01-01T03:00:00-05:00,2024-01-01 08:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,25.47,25.92,0.0,-0.45
2024-01-01T03:00:00-05:00,2024-01-01 08:00:00+00:00,2024-01-01T04:00:00-05:00,2024-01-01 09:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,25.4,25.85,0.0,-0.45
2024-01-01T04:00:00-05:00,2024-01-01 09:00:00+00:00,2024-01-01T05:00:00-05:00,2024-01-01 10:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,24.46,24.96,0.0,-0.5
2024-01-01T05:00:00-05:00,2024-01-01 10:00:00+00:00,2024-01-01T06:00:00-05:00,2024-01-01 11:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,26.8,27.37,0.0,-0.57
2024-01-01T06:00:00-05:00,2024-01-01 11:00:00+00:00,2024-01-01T07:00:00-05:00,2024-01-01 12:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,28.43,29.71,0.0,-1.28
2024-01-01T07:00:00-05:00,2024-01-01 12:00:00+00:00,2024-01-01T08:00:00-05:00,2024-01-01 13:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,24.16,25.14,0.0,-0.98
2024-01-01T08:00:00-05:00,2024-01-01 13:00:00+00:00,2024-01-01T09:00:00-05:00,2024-01-01 14:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,23.66,24.63,0.0,-0.97
2024-01-01T09:00:00-05:00,2024-01-01 14:00:00+00:00,2024-01-01T10:00:00-05:00,2024-01-01 15:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,22.91,23.8,0.0,-0.89
2024-01-01T10:00:00-05:00,2024-01-01 15:00:00+00:00,2024-01-01T11:00:00-05:00,2024-01-01 16:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,29.79,30.89,0.0,-1.1
2024-01-01T11:00:00-05:00,2024-01-01 16:00:00+00:00,2024-01-01T12:00:00-05:00,2024-01-01 17:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,32.41,33.42,0.0,-1.01
2024-01-01T12:00:00-05:00,2024-01-01 17:00:00+00:00,2024-01-01T13:00:00-05:00,2024-01-01 18:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,33.07,33.96,0.0,-0.89
2024-01-01T13:00:00-05:00,2024-01-01 18:00:00+00:00,2024-01-01T14:00:00-05:00,2024-01-01 19:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,33.16,34.09,0.0,-0.93
2024-01-01T14:00:00-05:00,2024-01-01 19:00:00+00:00,2024-01-01T15:00:00-05:00,2024-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,32.65,33.83,0.0,-1.18
2024-01-01T15:00:00-05:00,2024-01-01 20:00:00+00:00,2024-01-01T16:00:00-05:00,2024-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,33.97,35.19,0.0,-1.22
2024-01-01T16:00:00-05:00,2024-01-01 21:00:00+00:00,2024-01-01T17:00:00-05:00,2024-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,36.06,39.04,0.0,-2.98
2024-01-01T17:00:00-05:00,2024-01-01 22:00:00+00:00,2024-01-01T18:00:00-05:00,2024-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,44.05,47.59,0.0,-3.54
2024-01-01T18:00:00-05:00,2024-01-01 23:00:00+00:00,2024-01-01T19:00:00-05:00,2024-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,43.87,47.24,0.0,-3.37
2024-01-01T19:00:00-05:00,2024-01-02 00:00:00+00:00,2024-01-01T20:00:00-05:00,2024-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,45.7,47.07,0.0,-1.37
2024-01-01T20:00:00-05:00,2024-01-02 01:00:00+00:00,2024-01-01T21:00:00-05:00,2024-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,38.54,39.77,0.0,-1.23
2024-01-01T21:00:00-05:00,2024-01-02 02:00:00+00:00,2024-01-01T22:00:00-05:00,2024-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,35.92,37.05,0.0,-1.13
2024-01-01T22:00:00-05:00,2024-01-02 03:00:00+00:00,2024-01-01T23:00:00-05:00,2024-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,28.09,29.12,0.0,-1.03
2024-01-01T23:00:00-05:00,2024-01-02 04:00:00+00:00,2024-01-02T00:00:00-05:00,2024-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,31.64,32.93,0.0,-1.29
2024-01-02T00:00:00-05:00,2024-01-02 05:00:00+00:00,2024-01-02T01:00:00-05:00,2024-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,33.27,35.04,0.0,-1.77
2024-01-02T01:00:00-05:00,2024-01-02 06:00:00+00:00,2024-01-02T02:00:00-05:00,2024-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,33.15,34.85,0.0,-1.7
2024-01-02T02:00:00-05:00,2024-01-02 07:00:00+00:00,2024-01-02T03:00:00-05:00,2024-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,31.34,32.96,0.0,-1.62
2024-01-02T03:00:00-05:00,2024-01-02 08:00:00+00:00,2024-01-02T04:00:00-05:00,2024-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,31.46,33.1,0.0,-1.64
2024-01-02T04:00:00-05:00,2024-01-02 09:00:00+00:00,2024-01-02T05:00:00-05:00,2024-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,33.34,35.01,0.0,-1.67
2024-01-02T05:00:00-05:00,2024-01-02 10:00:00+00:00,2024-01-02T06:00:00-05:00,2024-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,35.8,37.64,0.0,-1.84
2024-01-02T06:00:00-05:00,2024-01-02 11:00:00+00:00,2024-01-02T07:00:00-05:00,2024-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,48.93,51.25,0.0,-2.32
2024-01-02T07:00:00-05:00,2024-01-02 12:00:00+00:00,2024-01-02T08:00:00-05:00,2024-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,53.53,55.97,0.0,-2.44
2024-01-02T08:00:00-05:00,2024-01-02 13:00:00+00:00,2024-01-02T09:00:00-05:00,2024-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,46.63,48.71,0.0,-2.08
2024-01-02T09:00:00-05:00,2024-01-02 14:00:00+00:00,2024-01-02T10:00:00-05:00,2024-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,30.27,31.63,0.0,-1.36
2024-01-02T10:00:00-05:00,2024-01-02 15:00:00+00:00,2024-01-02T11:00:00-05:00,2024-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,29.35,29.39,0.0,-0.04
2024-01-02T11:00:00-05:00,2024-01-02 16:00:00+00:00,2024-01-02T12:00:00-05:00,2024-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,28.19,28.2,0.0,-0.01
2024-01-02T12:00:00-05:00,2024-01-02 17:00:00+00:00,2024-01-02T13:00:00-05:00,2024-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,27.51,27.51,0.0,0.0
2024-01-02T13:00:00-05:00,2024-01-02 18:00:00+00:00,2024-01-02T14:00:00-05:00,2024-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,28.04,28.04,0.0,0.0
2024-01-02T14:00:00-05:00,2024-01-02 19:00:00+00:00,2024-01-02T15:00:00-05:00,2024-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,30.21,30.97,0.0,-0.76
2024-01-02T15:00:00-05:00,2024-01-02 20:00:00+00:00,2024-01-02T16:00:00-05:00,2024-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,34.49,35.99,0.0,-1.5
2024-01-02T16:00:00-05:00,2024-01-02 21:00:00+00:00,2024-01-02T17:00:00-05:00,2024-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,37.68,41.23,0.0,-3.55
2024-01-02T17:00:00-05:00,2024-01-02 22:00:00+00:00,2024-01-02T18:00:00-05:00,2024-01-02 23:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,47.02,51.39,0.0,-4.37
2024-01-02T18:00:00-05:00,2024-01-02 23:00:00+00:00,2024-01-02T19:00:00-05:00,2024-01-03 00:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,45.82,50.07,0.0,-4.25
2024-01-02T19:00:00-05:00,2024-01-03 00:00:00+00:00,2024-01-02T20:00:00-05:00,2024-01-03 01:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,43.74,47.89,0.0,-4.15
2024-01-02T20:00:00-05:00,2024-01-03 01:00:00+00:00,2024-01-02T21:00:00-05:00,2024-01-03 02:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,46.73,48.61,0.0,-1.88
2024-01-02T21:00:00-05:00,2024-01-03 02:00:00+00:00,2024-01-02T22:00:00-05:00,2024-01-03 03:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,41.34,43.09,0.0,-1.75
2024-01-02T22:00:00-05:00,2024-01-03 03:00:00+00:00,2024-01-02T23:00:00-05:00,2024-01-03 04:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,29.53,30.89,0.0,-1.36
2024-01-02T23:00:00-05:00,2024-01-03 04:00:00+00:00,2024-01-03T00:00:00-05:00,2024-01-03 05:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,32.13,33.74,0.0,-1.61
2024-01-03T00:00:00-05:00,2024-01-03 05:00:00+00:00,2024-01-03T01:00:00-05:00,2024-01-03 06:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,36.4,36.95,0.0,-0.55
2024-01-03T01:00:00-05:00,2024-01-03 06:00:00+00:00,2024-01-03T02:00:00-05:00,2024-01-03 07:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,33.99,34.56,0.0,-0.57
2024-01-03T02:00:00-05:00,2024-01-03 07:00:00+00:00,2024-01-03T03:00:00-05:00,2024-01-03 08:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,32.15,32.7,0.0,-0.55
2024-01-03T03:00:00-05:00,2024-01-03 08:00:00+00:00,2024-01-03T04:00:00-05:00,2024-01-03 09:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,31.91,32.5,0.0,-0.59
2024-01-03T04:00:00-05:00,2024-01-03 09:00:00+00:00,2024-01-03T05:00:00-05:00,2024-01-03 10:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,33.22,33.88,0.0,-0.66
2024-01-03T05:00:00-05:00,2024-01-03 10:00:00+00:00,2024-01-03T06:00:00-05:00,2024-01-03 11:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,34.98,36.59,0.0,-1.61
2024-01-03T06:00:00-05:00,2024-01-03 11:00:00+00:00,2024-01-03T07:00:00-05:00,2024-01-03 12:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,48.96,51.05,0.0,-2.09
2024-01-03T07:00:00-05:00,2024-01-03 12:00:00+00:00,2024-01-03T08:00:00-05:00,2024-01-03 13:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,49.34,51.12,0.0,-1.78
2024-01-03T08:00:00-05:00,2024-01-03 13:00:00+00:00,2024-01-03T09:00:00-05:00,2024-01-03 14:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,47.07,49.04,0.0,-1.97
2024-01-03T09:00:00-05:00,2024-01-03 14:00:00+00:00,2024-01-03T10:00:00-05:00,2024-01-03 15:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,34.95,36.1,0.0,-1.15
2024-01-03T10:00:00-05:00,2024-01-03 15:00:00+00:00,2024-01-03T11:00:00-05:00,2024-01-03 16:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,32.7,33.27,0.0,-0.57
2024-01-03T11:00:00-05:00,2024-01-03 16:00:00+00:00,2024-01-03T12:00:00-05:00,2024-01-03 17:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,32.69,33.12,0.0,-0.43
2024-01-03T12:00:00-05:00,2024-01-03 17:00:00+00:00,2024-01-03T13:00:00-05:00,2024-01-03 18:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,30.67,31.1,0.0,-0.43
2024-01-03T13:00:00-05:00,2024-01-03 18:00:00+00:00,2024-01-03T14:00:00-05:00,2024-01-03 19:00:00+00:00,DAY_AHEAD_HOURLY,AR.BEARSWMP13.8BSW1P,NETWORK NODE,32.62,33.16,0.0,-0.54
