interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp,energy,congestion,loss
2024-01-01T00:00:00-05:00,2024-01-01 05:00:00+00:00,2024-01-01T01:00:00-05:00,2024-01-01 06:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,51.98,53.36,0.0,-1.38
2024-01-01T01:00:00-05:00,2024-01-01 06:00:00+00:00,2024-01-01T02:00:00-05:00,2024-01-01 07:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,35.07,35.6,0.0,-0.53
2024-01-01T02:00:00-05:00,2024-01-01 07:00:00+00:00,2024-01-01T03:00:00-05:00,2024-01-01 08:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,29.06,29.53,0.0,-0.47
2024-01-01T03:00:00-05:00,2024-01-01 08:00:00+00:00,2024-01-01T04:00:00-05:00,2024-01-01 09:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,28.71,29.13,0.0,-0.42
2024-01-01T04:00:00-05:00,2024-01-01 09:00:00+00:00,2024-01-01T05:00:00-05:00,2024-01-01 10:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,27.67,28.11,0.0,-0.44
2024-01-01T05:00:00-05:00,2024-01-01 10:00:00+00:00,2024-01-01T06:00:00-05:00,2024-01-01 11:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,27.25,27.75,0.0,-0.5
2024-01-01T06:00:00-05:00,2024-01-01 11:00:00+00:00,2024-01-01T07:00:00-05:00,2024-01-01 12:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,27.24,27.77,0.0,-0.53
2024-01-01T07:00:00-05:00,2024-01-01 12:00:00+00:00,2024-01-01T08:00:00-05:00,2024-01-01 13:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,25.36,25.81,0.0,-0.45
2024-01-01T08:00:00-05:00,2024-01-01 13:00:00+00:00,2024-01-01T09:00:00-05:00,2024-01-01 14:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,24.77,25.65,0.0,-0.88
2024-01-01T09:00:00-05:00,2024-01-01 14:00:00+00:00,2024-01-01T10:00:00-05:00,2024-01-01 15:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,26.0,27.02,0.0,-1.02
2024-01-01T10:00:00-05:00,2024-01-01 15:00:00+00:00,2024-01-01T11:00:00-05:00,2024-01-01 16:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,26.41,27.4,0.0,-0.99
2024-01-01T11:00:00-05:00,2024-01-01 16:00:00+00:00,2024-01-01T12:00:00-05:00,2024-01-01 17:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,26.86,27.84,0.0,-0.98
2024-01-01T12:00:00-05:00,2024-01-01 17:00:00+00:00,2024-01-01T13:00:00-05:00,2024-01-01 18:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,25.54,26.36,0.0,-0.82
2024-01-01T13:00:00-05:00,2024-01-01 18:00:00+00:00,2024-01-01T14:00:00-05:00,2024-01-01 19:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,26.61,27.55,0.0,-0.94
2024-01-01T14:00:00-05:00,2024-01-01 19:00:00+00:00,2024-01-01T15:00:00-05:00,2024-01-01 20:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,30.08,31.19,0.0,-1.11
2024-01-01T15:00:00-05:00,2024-01-01 20:00:00+00:00,2024-01-01T16:00:00-05:00,2024-01-01 21:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,42.23,43.66,0.0,-1.43
