interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_id,load,native_load,ard_demand
2024-01-01T00:00:00-05:00,2024-01-01 05:00:00+00:00,2024-01-01T01:00:00-05:00,2024-01-01 06:00:00+00:00,NEPOOL AREA,32,12109.716,11760.821,348.895
2024-01-01T01:00:00-05:00,2024-01-01 06:00:00+00:00,2024-01-01T02:00:00-05:00,2024-01-01 07:00:00+00:00,NEPOOL AREA,32,11991.464,11375.785,615.679
2024-01-01T02:00:00-05:00,2024-01-01 07:00:00+00:00,2024-01-01T03:00:00-05:00,2024-01-01 08:00:00+00:00,NEPOOL AREA,32,11927.354,11081.14,846.214
2024-01-01T03:00:00-05:00,2024-01-01 08:00:00+00:00,2024-01-01T04:00:00-05:00,2024-01-01 09:00:00+00:00,NEPOOL AREA,32,11929.357,10931.527,997.83
2024-01-01T04:00:00-05:00,2024-01-01 09:00:00+00:00,2024-01-01T05:00:00-05:00,2024-01-01 10:00:00+00:00,NEPOOL AREA,32,11845.546,11011.599,833.947
2024-01-01T05:00:00-05:00,2024-01-01 10:00:00+00:00,2024-01-01T06:00:00-05:00,2024-01-01 11:00:00+00:00,NEPOOL AREA,32,11869.081,11309.92,559.161
2024-01-01T06:00:00-05:00,2024-01-01 11:00:00+00:00,2024-01-01T07:00:00-05:00,2024-01-01 12:00:00+00:00,NEPOOL AREA,32,12074.486,11747.895,326.591
2024-01-01T07:00:00-05:00,2024-01-01 12:00:00+00:00,2024-01-01T08:00:00-05:00,2024-01-01 13:00:00+00:00,NEPOOL AREA,32,12592.268,12085.425,506.843
2024-01-01T08:00:00-05:00,2024-01-01 13:00:00+00:00,2024-01-01T09:00:00-05:00,2024-01-01 14:00:00+00:00,NEPOOL AREA,32,12778.908,12266.914,511.994
2024-01-01T09:00:00-05:00,2024-01-01 14:00:00+00:00,2024-01-01T10:00:00-05:00,2024-01-01 15:00:00+00:00,NEPOOL AREA,32,12734.542,12222.534,512.008
